kod,100cm,100cm camlı,90cm,90cm camlı
100,,,,
110,4,28,6,13
120,0,14,57,31
130,6,22,9,29
140,10,4,2,8
160,9,15,31,25
200,,,,
220,3,33,49,32
230,-3,10,0,14
240,12,18,7,16
260,0,53,11,14
300,,,,
310,2,37,51,39
320,7,33,24,33
330,83,44,25,24
340,0,12,2,11
360,2,31,19,33
400,,,,
410,108,26,47,23
420,18,26,45,44
430,26,25,46,23
440,16,6,6,17
460,0,59,36,70
500,,,,
520,6,16,6,22
530,47,18,17,23
540,15,17,4,10
560,7,17,6,41
600,,,,
610,38,26,62,45
620,52,29,31,32
630,1,79,19,20
640,4,12,0,9
660,17,58,18,0
700,,,,
720,6,25,27,51
730,14,53,89,54
740,0,14,0,1
760,-1,39,124,106
800,,,,
810,5,37,21,3
820,30,40,61,51
830,-9,20,130,81
840,0,0,3,1
860,-3,32,139,61
900,,,,
920,8,17,55,37
930,6,58,101,48
960,0,32,216,116
