tarih ,100cm,100cm cam,90cm,90cm cam
1/1/2024,2699,1229,1362,1236
1/5/2024,2400,1208,1294,1217
1/12/2024,3713,1372,1676,1439
1/19/2024,3713,1372,1676,1439
1/26/2024,2424,1306,1385,1338
2/2/2024,2054,1286,1273,1281
2/9/2024,2140,1266,1151,1235
2/16/2024,1689,1242,1024,1180
2/23/2024,2198,1284,1170,1253
3/1/2024,2657,1281,1237,1270
3/8/2024,3825,1278,1484,1441
3/15/2024,4322,1266,1588,1471
3/22/2024,4118,1255,1531,1447
3/29/2024,4839,1241,1617,1447
4/5/2024,4592,1235,1552,1422
4/12/2024,4592,1235,1552,1422
4/19/2024,4779,1231,1495,1508
4/26/2024,4425,1209,1426,1479
5/3/2024,4713,1218,1487,1453
5/10/2024,4634,1198,1524,1475
5/17/2024,3997,1152,1368,1370
5/24/2024,3606,1181,1298,1394
5/31/2024,3007,1153,1186,1319
6/7/2024,3492,1173,1649,1348
6/14/2024,3392,1165,1559,1289
6/21/2024,3392,1165,1559,1289
6/28/2024,3392,1165,1559,1289
7/5/2024,4272,1157,1818,1446
7/12/2024,3157,1125,1635,1264
7/19/2024,2566,1087,1557,1151
7/26/2024,2431,1124,1743,1171
8/2/2024,2504,1166,2160,1317
8/9/2024,2616,1312,2350,1471
8/16/2024,2258,1280,2501,1593
8/23/2024,1448,1235,2255,1520
8/30/2024,1456,1243,2111,1525
9/6/2024,1568,1207,1936,1414
9/13/2024,1568,1207,1936,1414
9/20/2024,546,1135,1602,1311
